POLICY,,DURATION,,,,AGE GROUP,,PRICING,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
1Cover,Basic,180,Days,209,Days,0,59,492.8,985.6,985.6,399,798,798,368.2,736.4,736.4,268,536,536,,,
1Cover,Basic,210,Days,239,Days,0,59,509,1018,1018,429.1,858.2,858.2,385,770,770,285,570,570,,,
1Cover,Basic,240,Days,269,Days,0,59,555,1110,1110,455.9,911.8,911.8,415,830,830,298,596,596,,,
1Cover,Basic,270,Days,299,Days,0,59,609,1218,1218,480.2,960.4,960.4,443.8,887.6,887.6,332,664,664,,,
1Cover,Basic,300,Days,329,Days,0,59,615,1230,1230,525,1050,1050,465,930,930,352.8,705.6,705.6,,,
1Cover,Basic,330,Days,366,Days,0,59,655,1310,1310,545,1090,1090,489,978,978,365,730,730,,,
1Cover,Basic,1,Days,5,Days,60,69,72.1,144.2,144.2,62,124,124,53.5,107,107,40.8,81.6,81.6,,,
1Cover,Basic,6,Days,8,Days,60,69,76,152,152,65.3,130.6,130.6,59.5,119,119,43.2,86.4,86.4,,,
1Cover,Basic,9,Days,12,Days,60,69,82,164,164,75,150,150,65.3,130.6,130.6,47.6,95.2,95.2,,,
1Cover,Basic,13,Days,16,Days,60,69,92.2,184.4,184.4,88,176,176,73.5,147,147,51.7,103.4,103.4,,,
1Cover,Basic,17,Days,24,Days,60,69,122.5,245,245,104,208,208,84.7,169.4,169.4,69.2,138.4,138.4,,,
