POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,,,REGION 6,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Woolworths Travel Insurance,Basic,19,days,19,days,70,74,141.8,283.61,283.61,113.98,227.97,227.97,98.5,197,197,76.85,153.7,153.7,71.43,142.87,142.87,84.08,168.15,168.15
Woolworths Travel Insurance,Basic,20,days,20,days,70,74,145.05,290.1,290.1,117.15,234.3,234.3,99.59,199.17,199.17,77.94,155.89,155.89,73.6,147.21,147.21,86.63,173.26,173.26
Woolworths Travel Insurance,Basic,21,days,21,days,70,74,149.38,298.76,298.76,120.31,240.63,240.63,102.83,205.66,205.66,80.11,160.21,160.21,74.69,149.38,149.38,87.91,175.81,175.81
Woolworths Travel Insurance,Basic,22,days,22,days,70,74,153.71,307.42,307.42,123.48,246.96,246.96,105,210,210,81.18,162.36,162.36,76.85,153.7,153.7,90.45,180.9,180.9
Woolworths Travel Insurance,Basic,23,days,23,days,70,74,156.95,313.91,313.91,126.65,253.31,253.31,108.25,216.49,216.49,83.35,166.7,166.7,77.94,155.89,155.89,91.74,183.48,183.48
Woolworths Travel Insurance,Basic,24,days,24,days,70,74,161.29,322.57,322.57,129.82,259.64,259.64,110.41,220.81,220.81,84.44,168.87,168.87,80.11,160.21,160.21,94.28,188.56,188.56
Woolworths Travel Insurance,Basic,25,days,25,days,70,74,164.54,329.08,329.08,132.98,265.97,265.97,113.66,227.32,227.32,86.6,173.19,173.19,81.18,162.36,162.36,95.55,191.09,191.09
Woolworths Travel Insurance,Basic,26,days,26,days,70,74,167.79,335.57,335.57,136.15,272.3,272.3,114.74,229.47,229.47,88.76,177.51,177.51,84.44,168.87,168.87,99.38,198.75,198.75
Woolworths Travel Insurance,Basic,27,days,27,days,70,74,171.03,342.06,342.06,139.31,278.62,278.62,117.99,235.99,235.99,89.85,179.7,179.7,86.6,173.19,173.19,101.92,203.84,203.84
Woolworths Travel Insurance,Basic,28,days,28,days,70,74,176.45,352.89,352.89,142.48,284.95,284.95,120.15,240.31,240.31,92.01,184.02,184.02,88.76,177.51,177.51,104.46,208.92,208.92
