POLICY,,DURATION,,,,AGE GROUP,,PRICING,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,,,REGION 6,,,REGION 7,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Virgin Money,Comprehensive,45,Days,45,Days,25,49,209.71,419.42,419.42,181.52,363.04,363.04,171.43,342.86,342.86,147.98,295.96,295.96,131.57,263.14,263.14,,,,,,
Virgin Money,Comprehensive,46,Days,46,Days,25,49,211.69,423.38,423.38,183.44,366.88,366.88,173.45,346.9,346.9,150.04,300.08,300.08,133.5,267,267,,,,,,
Virgin Money,Comprehensive,47,Days,47,Days,25,49,214.66,429.32,429.32,186.32,372.64,372.64,175.47,350.94,350.94,152.09,304.18,304.18,135.42,270.84,270.84,,,,,,
Virgin Money,Comprehensive,48,Days,48,Days,25,49,216.64,433.28,433.28,188.24,376.48,376.48,176.48,352.96,352.96,153.12,306.24,306.24,136.38,272.76,272.76,,,,,,
Virgin Money,Comprehensive,49,Days,49,Days,25,49,219.61,439.22,439.22,189.2,378.4,378.4,179.5,359,359,155.17,310.34,310.34,138.3,276.6,276.6,,,,,,
Virgin Money,Comprehensive,50,Days,50,Days,25,49,222.58,445.16,445.16,192.08,384.16,384.16,181.52,363.04,363.04,157.23,314.46,314.46,140.22,280.44,280.44,,,,,,
Virgin Money,Comprehensive,51,Days,51,Days,25,49,224.55,449.1,449.1,194.96,389.92,389.92,182.53,365.06,365.06,159.28,318.56,318.56,142.14,284.28,284.28,,,,,,
Virgin Money,Comprehensive,52,Days,52,Days,25,49,226.53,453.06,453.06,196.88,393.76,393.76,184.54,369.08,369.08,160.31,320.62,320.62,143.1,286.2,286.2,,,,,,
Virgin Money,Comprehensive,53,Days,53,Days,25,49,229.5,459,459,198.8,397.6,397.6,186.56,373.12,373.12,162.37,324.74,324.74,144.06,288.12,288.12,,,,,,
Virgin Money,Comprehensive,54,Days,54,Days,25,49,232.47,464.94,464.94,201.68,403.36,403.36,189.58,379.16,379.16,164.42,328.84,328.84,145.98,291.96,291.96,,,,,,
Virgin Money,Comprehensive,55,Days,55,Days,25,49,234.45,468.9,468.9,202.64,405.28,405.28,190.59,381.18,381.18,165.44,330.88,330.88,147.9,295.8,295.8,,,,,,
Virgin Money,Comprehensive,56,Days,56,Days,25,49,237.41,474.82,474.82,203.6,407.2,407.2,193.62,387.24,387.24,167.5,335,335,149.82,299.64,299.64,,,,,,
Virgin Money,Comprehensive,57,Days,57,Days,25,49,240.37,480.74,480.74,206.49,412.98,412.98,195.64,391.28,391.28,169.56,339.12,339.12,151.74,303.48,303.48,,,,,,
Virgin Money,Comprehensive,58,Days,58,Days,25,49,242.35,484.7,484.7,209.37,418.74,418.74,197.65,395.3,395.3,171.62,343.24,343.24,153.66,307.32,307.32,,,,,,
