POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
1st For Women,Topaz,93,Days,123,Days,16,54,355.3,675.07,710.6,238.85,453.82,477.7,214.2,406.98,428.4,186.15,353.69,372.3,,,
1st For Women,Topaz,124,Days,153,Days,16,54,423.3,804.27,846.6,275.4,523.26,550.8,233.75,444.13,467.5,222.7,423.13,445.4,,,
1st For Women,Topaz,154,Days,184,Days,16,54,486.2,923.78,972.4,314.5,597.55,629,287.3,545.87,574.6,243.1,461.89,486.2,,,
1st For Women,Topaz,185,Days,215,Days,16,54,528.7,1004.53,1057.4,373.15,708.99,746.3,306.85,583.02,613.7,256.7,487.73,513.4,,,
1st For Women,Topaz,216,Days,245,Days,16,54,593.3,1127.27,1186.6,416.5,791.35,833,328.1,623.39,656.2,272,516.8,544,,,
1st For Women,Topaz,246,Days,276,Days,16,54,629.85,1196.72,1259.7,436.9,830.11,873.8,361.25,686.38,722.5,301.75,573.33,603.5,,,
1st For Women,Topaz,277,Days,306,Days,16,54,682.55,1296.85,1365.1,476,904.4,952,389.3,739.67,778.6,323,613.7,646,,,
1st For Women,Topaz,307,Days,337,Days,16,54,726.75,1380.83,1453.5,506.6,962.54,1013.2,414.8,788.12,829.6,351.05,667,702.1,,,
1st For Women,Topaz,338,Days,366,Days,16,54,789.65,1500.34,1579.3,538.9,1023.91,1077.8,444.55,844.65,889.1,379.1,720.29,758.2,,,
1st For Women,Topaz,1,Days,5,Days,55,64,58.01,110.22,116.03,44.63,84.79,89.25,39.27,74.61,78.54,33.02,62.74,66.05,,,
1st For Women,Topaz,6,Days,7,Days,55,64,65.15,123.79,130.31,49.09,93.27,98.18,42.84,81.4,85.68,35.7,67.83,71.4,,,
1st For Women,Topaz,8,Days,14,Days,55,64,83,157.7,166.01,64.26,122.09,128.52,55.34,105.14,110.67,49.98,94.96,99.96,,,
1st For Women,Topaz,15,Days,21,Days,55,64,116.92,222.14,233.84,85.68,162.79,171.36,71.4,135.66,142.8,67.83,128.88,135.66,,,
