POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Kango-Cover,Eastern Grey,154,Days,185,Days,60,64,807.00,1533.30,1533.30,549.00,1043.10,1043.10,519.00,986.10,986.10,399.00,758.10,758.10
Kango-Cover,Eastern Grey,186,Days,216,Days,60,64,919.00,1746.10,1746.10,615.00,1168.50,1168.50,587.00,1115.30,1115.30,461.00,875.90,875.90
Kango-Cover,Eastern Grey,217,Days,245,Days,60,64,1009.00,1917.10,1917.10,675.00,1282.50,1282.50,647.00,1229.30,1229.30,525.00,997.50,997.50
Kango-Cover,Eastern Grey,246,Days,276,Days,60,64,1109.00,2107.10,2107.10,739.00,1404.10,1404.10,721.00,1369.90,1369.90,587.00,1115.30,1115.30
Kango-Cover,Eastern Grey,277,Days,306,Days,60,64,1185.00,2251.50,2251.50,801.00,1521.90,1521.90,785.00,1491.50,1491.50,649.00,1233.10,1233.10
Kango-Cover,Eastern Grey,307,Days,337,Days,60,64,1281.00,2433.90,2433.90,858.00,1630.20,1630.20,837.00,1590.30,1590.30,713.00,1354.70,1354.70
Kango-Cover,Eastern Grey,338,Days,366,Days,60,64,1345.00,2555.50,2555.50,899.00,1708.10,1708.10,867.00,1647.30,1647.30,777.00,1476.30,1476.30
Kango-Cover,Wallaby,1,Days,4,Days,0,45,47.00,89.30,89.30,39.00,74.10,74.10,34.00,64.60,64.60,26.00,49.40,49.40
Kango-Cover,Wallaby,5,Days,8,Days,0,45,65.00,123.50,123.50,50.00,95.00,95.00,49.00,93.10,93.10,35.00,66.50,66.50
Kango-Cover,Wallaby,9,Days,12,Days,0,45,75.00,142.50,142.50,59.00,112.10,112.10,57.00,108.30,108.30,41.00,77.90,77.90
Kango-Cover,Wallaby,13,Days,17,Days,0,45,89.00,169.10,169.10,67.00,127.30,127.30,63.00,119.70,119.70,45.00,85.50,85.50
Kango-Cover,Wallaby,18,Days,24,Days,0,45,105.00,199.50,199.50,85.00,161.50,161.50,78.00,148.20,148.20,59.00,112.10,112.10
Kango-Cover,Wallaby,25,Days,31,Days,0,45,135.00,256.50,256.50,99.00,188.10,188.10,97.00,184.30,184.30,67.00,127.30,127.30
Kango-Cover,Wallaby,32,Days,35,Days,0,45,151.00,286.90,286.90,109.00,207.10,207.10,107.00,203.30,203.30,75.00,142.50,142.50
Kango-Cover,Wallaby,36,Days,45,Days,0,45,183.00,347.70,347.70,127.00,241.30,241.30,125.00,237.50,237.50,89.00,169.10,169.10
Kango-Cover,Wallaby,46,Days,62,Days,0,45,225.00,427.50,427.50,159.00,302.10,302.10,159.00,302.10,302.10,109.00,207.10,207.10
Kango-Cover,Wallaby,63,Days,92,Days,0,45,295.00,560.50,560.50,203.00,385.70,385.70,199.00,378.10,378.10,149.00,283.10,283.10
Kango-Cover,Wallaby,93,Days,123,Days,0,45,349.00,663.10,663.10,238.00,452.20,452.20,235.00,446.50,446.50,171.00,324.90,324.90
Kango-Cover,Wallaby,124,Days,153,Days,0,45,403.00,765.70,765.70,273.00,518.70,518.70,269.00,511.10,511.10,197.00,374.30,374.30
Kango-Cover,Wallaby,154,Days,185,Days,0,45,471.00,894.90,894.90,313.00,594.70,594.70,309.00,587.10,587.10,225.00,427.50,427.50
Kango-Cover,Wallaby,186,Days,216,Days,0,45,535.00,1016.50,1016.50,351.00,666.90,666.90,347.00,659.30,659.30,261.00,495.90,495.90
Kango-Cover,Wallaby,217,Days,245,Days,0,45,585.00,1111.50,1111.50,389.00,739.10,739.10,381.00,723.90,723.90,297.00,564.30,564.30
Kango-Cover,Wallaby,246,Days,276,Days,0,45,645.00,1225.50,1225.50,429.00,815.10,815.10,419.00,796.10,796.10,333.00,632.70,632.70
Kango-Cover,Wallaby,277,Days,306,Days,0,45,695.00,1320.50,1320.50,469.00,891.10,891.10,455.00,864.50,864.50,369.00,701.10,701.10
Kango-Cover,Wallaby,307,Days,337,Days,0,45,755.00,1434.50,1434.50,499.00,948.10,948.10,489.00,929.10,929.10,407.00,773.30,773.30
Kango-Cover,Wallaby,338,Days,366,Days,0,45,795.00,1510.50,1510.50,521.00,989.90,989.90,509.00,967.10,967.10,443.00,841.70,841.70
Kango-Cover,Wallaby,367,Days,390,Days,0,45,845.00,1605.50,1605.50,553.00,1050.70,1050.70,539.00,1024.10,1024.10,,,
Kango-Cover,Wallaby,391,Days,420,Days,0,45,915.00,1738.50,1738.50,591.00,1122.90,1122.90,579.00,1100.10,1100.10,,,
Kango-Cover,Wallaby,421,Days,450,Days,0,45,975.00,1852.50,1852.50,637.00,1210.30,1210.30,619.00,1176.10,1176.10,,,
Kango-Cover,Wallaby,451,Days,480,Days,0,45,1035.00,1966.50,1966.50,675.00,1282.50,1282.50,659.00,1252.10,1252.10,,,
Kango-Cover,Wallaby,481,Days,510,Days,0,45,1095.00,2080.50,2080.50,721.00,1369.90,1369.90,699.00,1328.10,1328.10,,,
Kango-Cover,Wallaby,511,Days,540,Days,0,45,1155.00,2194.50,2194.50,769.00,1461.10,1461.10,739.00,1404.10,1404.10,,,
Kango-Cover,Rock Wallaby,1,Days,4,Days,0,45,42.00,79.80,79.80,35.00,66.50,66.50,33.00,62.70,62.70,23.00,43.70,43.70
Kango-Cover,Rock Wallaby,5,Days,8,Days,0,45,57.00,108.30,108.30,43.00,81.70,81.70,42.00,79.80,79.80,29.80,56.62,56.62
Kango-Cover,Rock Wallaby,9,Days,12,Days,0,45,67.00,127.30,127.30,53.00,100.70,100.70,49.90,94.81,94.81,35.00,66.50,66.50
Kango-Cover,Rock Wallaby,13,Days,17,Days,0,45,79.00,150.10,150.10,59.00,112.10,112.10,57.00,108.30,108.30,39.00,74.10,74.10
Kango-Cover,Rock Wallaby,18,Days,24,Days,0,45,97.00,184.30,184.30,77.00,146.30,146.30,71.00,134.90,134.90,53.00,100.70,100.70
Kango-Cover,Rock Wallaby,25,Days,31,Days,0,45,117.00,222.30,222.30,93.00,176.70,176.70,88.00,167.20,167.20,59.00,112.10,112.10
Kango-Cover,Rock Wallaby,32,Days,35,Days,0,45,132.00,250.80,250.80,99.00,188.10,188.10,97.00,184.30,184.30,67.00,127.30,127.30
Kango-Cover,Rock Wallaby,36,Days,45,Days,0,45,163.00,309.70,309.70,119.00,226.10,226.10,115.00,218.50,218.50,79.60,151.24,151.24
Kango-Cover,Rock Wallaby,46,Days,62,Days,0,45,198.00,376.20,376.20,148.00,281.20,281.20,146.00,277.40,277.40,98.00,186.20,186.20
Kango-Cover,Rock Wallaby,63,Days,92,Days,0,45,257.00,488.30,488.30,181.00,343.90,343.90,179.90,341.81,341.81,129.00,245.10,245.10
Kango-Cover,Rock Wallaby,93,Days,123,Days,0,45,309.00,587.10,587.10,215.00,408.50,408.50,211.00,400.90,400.90,149.00,283.10,283.10
Kango-Cover,Rock Wallaby,124,Days,153,Days,0,45,354.00,672.60,672.60,247.00,469.30,469.30,241.90,459.61,459.61,169.90,322.81,322.81
Kango-Cover,Rock Wallaby,154,Days,185,Days,0,45,423.00,803.70,803.70,279.00,530.10,530.10,273.90,520.41,520.41,191.90,364.61,364.61
Kango-Cover,Rock Wallaby,186,Days,216,Days,0,45,475.00,902.50,902.50,309.00,587.10,587.10,303.00,575.70,575.70,223.00,423.70,423.70
Kango-Cover,Rock Wallaby,217,Days,245,Days,0,45,525.00,997.50,997.50,341.00,647.90,647.90,331.00,628.90,628.90,253.00,480.70,480.70
Kango-Cover,Rock Wallaby,246,Days,276,Days,0,45,569.00,1081.10,1081.10,373.00,708.70,708.70,365.00,693.50,693.50,285.00,541.50,541.50
Kango-Cover,Rock Wallaby,277,Days,306,Days,0,45,623.00,1183.70,1183.70,405.00,769.50,769.50,396.00,752.40,752.40,319.00,606.10,606.10
Kango-Cover,Rock Wallaby,307,Days,337,Days,0,45,695.00,1320.50,1320.50,437.00,830.30,830.30,428.00,813.20,813.20,353.00,670.70,670.70
Kango-Cover,Rock Wallaby,338,Days,366,Days,0,45,721.00,1369.90,1369.90,469.00,891.10,891.10,457.00,868.30,868.30,393.00,746.70,746.70
Kango-Cover,Rock Wallaby,367,Days,390,Days,0,45,749.00,1423.10,1423.10,509.00,967.10,967.10,492.00,934.80,934.80,,,
Kango-Cover,Rock Wallaby,391,Days,420,Days,0,45,799.00,1518.10,1518.10,549.00,1043.10,1043.10,527.00,1001.30,1001.30,,,
Kango-Cover,Rock Wallaby,421,Days,450,Days,0,45,849.00,1613.10,1613.10,589.00,1119.10,1119.10,562.00,1067.80,1067.80,,,
Kango-Cover,Rock Wallaby,451,Days,480,Days,0,45,899.00,1708.10,1708.10,629.00,1195.10,1195.10,597.00,1134.30,1134.30,,,
Kango-Cover,Rock Wallaby,481,Days,510,Days,0,45,953.00,1810.70,1810.70,669.00,1271.10,1271.10,632.00,1200.80,1200.80,,,
Kango-Cover,Rock Wallaby,511,Days,540,Days,0,45,1009.00,1917.10,1917.10,709.00,1347.10,1347.10,667.00,1267.30,1267.30,,,
Kango-Cover,Joey,1,Days,4,Days,0,59,40.00,76.00,76.00,33.00,62.70,62.70,31.00,58.90,58.90,20.90,39.71,39.71
Kango-Cover,Joey,5,Days,8,Days,0,59,42.00,79.80,79.80,35.00,66.50,66.50,32.00,60.80,60.80,22.00,41.80,41.80
Kango-Cover,Joey,9,Days,12,Days,0,59,45.50,86.45,86.45,39.90,75.81,75.81,36.50,69.35,69.35,24.60,46.74,46.74
Kango-Cover,Joey,13,Days,17,Days,0,59,55.30,105.07,105.07,44.90,85.31,85.31,40.00,76.00,76.00,27.80,52.82,52.82
Kango-Cover,Joey,18,Days,24,Days,0,59,69.70,132.43,132.43,54.30,103.17,103.17,48.50,92.15,92.15,33.70,64.03,64.03
Kango-Cover,Joey,25,Days,31,Days,0,59,88.00,167.20,167.20,69.50,132.05,132.05,61.00,115.90,115.90,40.90,77.71,77.71
Kango-Cover,Joey,32,Days,35,Days,0,59,97.00,184.30,184.30,76.30,144.97,144.97,69.90,132.81,132.81,48.00,91.20,91.20
Kango-Cover,Joey,36,Days,45,Days,0,59,115.00,218.50,218.50,89.90,170.81,170.81,82.20,156.18,156.18,57.50,109.25,109.25
Kango-Cover,Joey,46,Days,62,Days,0,59,140.00,266.00,266.00,110.50,209.95,209.95,103.00,195.70,195.70,71.00,134.90,134.90
Kango-Cover,Joey,63,Days,92,Days,0,59,185.00,351.50,351.50,141.90,269.61,269.61,130.00,247.00,247.00,95.00,180.50,180.50
Kango-Cover,Joey,93,Days,123,Days,0,59,219.80,417.62,417.62,169.00,321.10,321.10,165.00,313.50,313.50,120.00,228.00,228.00
Kango-Cover,Joey,124,Days,153,Days,0,59,260.00,494.00,494.00,199.80,379.62,379.62,189.00,359.10,359.10,135.00,256.50,256.50
Kango-Cover,Joey,154,Days,185,Days,0,59,298.00,566.20,566.20,229.00,435.10,435.10,219.00,416.10,416.10,155.00,294.50,294.50
Kango-Cover,Joey,186,Days,216,Days,0,59,335.00,636.50,636.50,260.00,494.00,494.00,249.00,473.10,473.10,180.00,342.00,342.00
Kango-Cover,Joey,217,Days,245,Days,0,59,369.00,701.10,701.10,291.00,552.90,552.90,274.00,520.60,520.60,200.00,380.00,380.00
Kango-Cover,Joey,246,Days,276,Days,0,59,402.00,763.80,763.80,318.00,604.20,604.20,299.00,568.10,568.10,226.00,429.40,429.40
Kango-Cover,Joey,277,Days,306,Days,0,59,439.00,834.10,834.10,345.00,655.50,655.50,325.00,617.50,617.50,250.00,475.00,475.00
Kango-Cover,Joey,307,Days,337,Days,0,59,475.00,902.50,902.50,375.00,712.50,712.50,349.00,663.10,663.10,275.00,522.50,522.50
Kango-Cover,Joey,338,Days,366,Days,0,59,499.00,948.10,948.10,395.00,750.50,750.50,363.00,689.70,689.70,298.50,567.15,567.15
Kango-Cover,Joey,367,Days,390,Days,0,59,539.00,1024.10,1024.10,410.00,779.00,779.00,385.00,731.50,731.50,,,
Kango-Cover,Joey,391,Days,420,Days,0,59,579.00,1100.10,1100.10,425.00,807.50,807.50,415.00,788.50,788.50,,,
Kango-Cover,Joey,421,Days,450,Days,0,59,619.00,1176.10,1176.10,449.00,853.10,853.10,445.00,845.50,845.50,,,
Kango-Cover,Joey,451,Days,480,Days,0,59,649.00,1233.10,1233.10,481.00,913.90,913.90,475.00,902.50,902.50,,,
Kango-Cover,Joey,481,Days,510,Days,0,59,689.00,1309.10,1309.10,511.00,970.90,970.90,505.00,959.50,959.50,,,
Kango-Cover,Joey,511,Days,540,Days,0,59,729.00,1385.10,1385.10,541.00,1027.90,1027.90,535.00,1016.50,1016.50,,,
Kango-Cover,Joey,1,Days,4,Days,60,64,49.00,93.10,93.10,38.40,72.96,72.96,36.30,68.97,68.97,23.70,45.03,45.03
Kango-Cover,Joey,5,Days,8,Days,60,64,49.00,93.10,93.10,38.40,72.96,72.96,36.30,68.97,68.97,25.00,47.50,47.50
Kango-Cover,Joey,9,Days,12,Days,60,64,55.00,104.50,104.50,43.00,81.70,81.70,42.40,80.56,80.56,27.80,52.82,52.82
Kango-Cover,Joey,13,Days,17,Days,60,64,66.00,125.40,125.40,49.00,93.10,93.10,46.70,88.73,88.73,31.50,59.85,59.85
Kango-Cover,Joey,18,Days,24,Days,60,64,79.00,150.10,150.10,62.00,117.80,117.80,57.00,108.30,108.30,39.00,74.10,74.10
Kango-Cover,Joey,25,Days,31,Days,60,64,99.70,189.43,189.43,78.70,149.53,149.53,72.00,136.80,136.80,46.30,87.97,87.97
Kango-Cover,Joey,32,Days,35,Days,60,64,113.00,214.70,214.70,86.40,164.16,164.16,79.20,150.48,150.48,54.30,103.17,103.17
Kango-Cover,Joey,36,Days,45,Days,60,64,139.00,264.10,264.10,101.00,191.90,191.90,94.00,178.60,178.60,65.10,123.69,123.69
Kango-Cover,Joey,46,Days,62,Days,60,64,171.00,324.90,324.90,125.20,237.88,237.88,119.00,226.10,226.10,80.40,152.76,152.76
Kango-Cover,Joey,63,Days,92,Days,60,64,225.00,427.50,427.50,160.80,305.52,305.52,155.00,294.50,294.50,107.70,204.63,204.63
Kango-Cover,Joey,93,Days,123,Days,60,64,264.00,501.60,501.60,191.50,363.85,363.85,185.00,351.50,351.50,136.00,258.40,258.40
Kango-Cover,Joey,124,Days,153,Days,60,64,315.00,598.50,598.50,226.40,430.16,430.16,214.20,406.98,406.98,153.00,290.70,290.70
Kango-Cover,Joey,154,Days,185,Days,60,64,355.00,674.50,674.50,259.50,493.05,493.05,240.90,457.71,457.71,175.70,333.83,333.83
Kango-Cover,Joey,186,Days,216,Days,60,64,399.00,758.10,758.10,294.60,559.74,559.74,273.90,520.41,520.41,203.90,387.41,387.41
Kango-Cover,Joey,217,Days,245,Days,60,64,435.00,826.50,826.50,329.70,626.43,626.43,301.40,572.66,572.66,226.60,430.54,430.54
Kango-Cover,Joey,246,Days,276,Days,60,64,479.00,910.10,910.10,360.30,684.57,684.57,328.90,624.91,624.91,256.10,486.59,486.59
Kango-Cover,Joey,277,Days,306,Days,60,64,513.00,974.70,974.70,390.90,742.71,742.71,357.50,679.25,679.25,283.30,538.27,538.27
