POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,,,REGION 6,,,REGION 7,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Virgin Money,Comprehensive,41,Days,41,Days,25,49,193.80,387.60,387.60,167.58,335.16,335.16,157.44,314.88,314.88,137.37,274.74,274.74,122.50,245.00,245.00,,,,,,
Virgin Money,Comprehensive,42,Days,42,Days,25,49,198.85,397.70,397.70,171.50,343.00,343.00,162.58,325.16,325.16,139.46,278.92,278.92,126.42,252.84,252.84,,,,,,
Virgin Money,Comprehensive,43,Days,43,Days,25,49,206.93,413.86,413.86,177.38,354.76,354.76,168.76,337.52,337.52,145.76,291.52,291.52,130.34,260.68,260.68,,,,,,
Virgin Money,Comprehensive,44,Days,44,Days,25,49,209.96,419.92,419.92,180.32,360.64,360.64,170.81,341.62,341.62,147.85,295.70,295.70,131.32,262.64,262.64,,,,,,
Virgin Money,Comprehensive,45,Days,45,Days,25,49,213.99,427.98,427.98,185.22,370.44,370.44,174.93,349.86,349.86,151.00,302.00,302.00,134.26,268.52,268.52,,,,,,
Virgin Money,Comprehensive,46,Days,46,Days,25,49,216.01,432.02,432.02,187.18,374.36,374.36,176.99,353.98,353.98,153.10,306.20,306.20,136.22,272.44,272.44,,,,,,
Virgin Money,Comprehensive,47,Days,47,Days,25,49,219.04,438.08,438.08,190.12,380.24,380.24,179.05,358.10,358.10,155.19,310.38,310.38,138.18,276.36,276.36,,,,,,
Virgin Money,Comprehensive,48,Days,48,Days,25,49,221.06,442.12,442.12,192.08,384.16,384.16,180.08,360.16,360.16,156.24,312.48,312.48,139.16,278.32,278.32,,,,,,
Virgin Money,Comprehensive,49,Days,49,Days,25,49,224.09,448.18,448.18,193.06,386.12,386.12,183.16,366.32,366.32,158.34,316.68,316.68,141.12,282.24,282.24,,,,,,
Virgin Money,Comprehensive,50,Days,50,Days,25,49,227.12,454.24,454.24,196.00,392.00,392.00,185.22,370.44,370.44,160.44,320.88,320.88,143.08,286.16,286.16,,,,,,
Virgin Money,Comprehensive,51,Days,51,Days,25,49,229.13,458.26,458.26,198.94,397.88,397.88,186.25,372.50,372.50,162.53,325.06,325.06,145.04,290.08,290.08,,,,,,
Virgin Money,Comprehensive,52,Days,52,Days,25,49,231.15,462.30,462.30,200.90,401.80,401.80,188.31,376.62,376.62,163.58,327.16,327.16,146.02,292.04,292.04,,,,,,
Virgin Money,Comprehensive,53,Days,53,Days,25,49,234.18,468.36,468.36,202.86,405.72,405.72,190.37,380.74,380.74,165.68,331.36,331.36,147.00,294.00,294.00,,,,,,
Virgin Money,Comprehensive,54,Days,54,Days,25,49,237.21,474.42,474.42,205.80,411.60,411.60,193.45,386.90,386.90,167.78,335.56,335.56,148.96,297.92,297.92,,,,,,
Virgin Money,Comprehensive,55,Days,55,Days,25,49,239.23,478.46,478.46,206.78,413.56,413.56,194.48,388.96,388.96,168.82,337.64,337.64,150.92,301.84,301.84,,,,,,
Virgin Money,Comprehensive,56,Days,56,Days,25,49,242.26,484.52,484.52,207.76,415.52,415.52,197.57,395.14,395.14,170.92,341.84,341.84,152.88,305.76,305.76,,,,,,
Virgin Money,Comprehensive,57,Days,57,Days,25,49,245.28,490.56,490.56,210.70,421.40,421.40,199.63,399.26,399.26,173.02,346.04,346.04,154.84,309.68,309.68,,,,,,
Virgin Money,Comprehensive,58,Days,58,Days,25,49,247.30,494.60,494.60,213.64,427.28,427.28,201.68,403.36,403.36,175.12,350.24,350.24,156.80,313.60,313.60,,,,,,
Virgin Money,Comprehensive,59,Days,59,Days,25,49,249.32,498.64,498.64,214.62,429.24,429.24,202.71,405.42,405.42,176.16,352.32,352.32,157.78,315.56,315.56,,,,,,
Virgin Money,Comprehensive,60,Days,62,Days,25,49,251.34,502.68,502.68,217.56,435.12,435.12,205.80,411.60,411.60,178.26,356.52,356.52,159.74,319.48,319.48,,,,,,
Virgin Money,Comprehensive,63,Days,92,Days,25,49,328.06,656.12,656.12,283.22,566.44,566.44,266.51,533.02,533.02,231.74,463.48,463.48,206.78,413.56,413.56,,,,,,
Virgin Money,Comprehensive,93,Days,123,Days,25,49,387.61,775.22,775.22,335.16,670.32,670.32,315.90,631.80,631.80,273.68,547.36,547.36,244.02,488.04,488.04,,,,,,
Virgin Money,Comprehensive,124,Days,153,Days,25,49,451.20,902.40,902.40,391.02,782.04,782.04,368.38,736.76,736.76,319.82,639.64,639.64,284.20,568.40,568.40,,,,,,
Virgin Money,Comprehensive,154,Days,184,Days,25,49,508.74,1017.48,1017.48,439.04,878.08,878.08,413.66,827.32,827.32,358.62,717.24,717.24,320.46,640.92,640.92,,,,,,
Virgin Money,Comprehensive,185,Days,215,Days,25,49,585.45,1170.90,1170.90,505.68,1011.36,1011.36,477.46,954.92,954.92,414.20,828.40,828.40,369.46,738.92,738.92,,,,,,
Virgin Money,Comprehensive,216,Days,245,Days,25,49,646.02,1292.04,1292.04,558.60,1117.20,1117.20,526.85,1053.70,1053.70,457.19,914.38,914.38,407.68,815.36,815.36,,,,,,
Virgin Money,Comprehensive,246,Days,276,Days,25,49,707.59,1415.18,1415.18,611.52,1223.04,1223.04,576.24,1152.48,1152.48,501.23,1002.46,1002.46,446.88,893.76,893.76,,,,,,
