POLICY,,DURATION,,,,AGE GROUP,,PRICING,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,,,REGION 6,,,REGION 7,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Webjet,Comprehensive Cover,81,Days,81,Days,16,75,361.09,686.07,722.18,285.35,542.17,570.7,253.65,481.93,507.29,209.26,397.59,418.51,200.8,381.52,401.6,,,,,,
Webjet,Comprehensive Cover,82,Days,82,Days,16,75,364.49,692.54,728.99,288.04,547.27,576.08,256.03,486.46,512.07,211.23,401.33,422.46,202.69,385.12,405.39,,,,,,
Webjet,Comprehensive Cover,83,Days,83,Days,16,75,367.89,698.98,735.77,290.72,552.37,581.44,258.42,490.99,516.83,213.19,405.07,426.39,204.58,388.7,409.16,,,,,,
Webjet,Comprehensive Cover,84,Days,84,Days,16,75,371.27,705.42,742.54,293.4,557.45,586.79,260.8,495.51,521.59,215.16,408.8,430.31,206.46,392.28,412.93,,,,,,
Webjet,Comprehensive Cover,85,Days,85,Days,16,75,374.65,711.83,749.3,296.06,562.52,592.13,263.17,500.02,526.34,217.11,412.52,434.23,208.34,395.85,416.68,,,,,,
Webjet,Comprehensive Cover,86,Days,86,Days,16,75,378.02,718.24,756.04,298.73,567.58,597.46,265.54,504.52,531.07,219.07,416.23,438.13,210.22,399.41,420.43,,,,,,
Webjet,Comprehensive Cover,87,Days,87,Days,16,75,381.38,724.63,762.77,301.39,572.63,602.77,267.9,509.01,535.8,221.02,419.93,442.03,212.09,402.96,424.17,,,,,,
Webjet,Comprehensive Cover,88,Days,88,Days,16,75,384.74,731,769.48,304.04,577.67,608.08,270.26,513.49,540.51,222.96,423.63,445.92,213.95,406.51,427.9,,,,,,
Webjet,Comprehensive Cover,89,Days,89,Days,16,75,388.09,737.37,776.17,306.68,582.7,613.37,272.61,517.95,545.22,224.9,427.31,449.8,215.81,410.05,431.63,,,,,,
Webjet,Comprehensive Cover,90,Days,90,Days,16,75,391.43,743.71,782.86,309.32,587.71,618.65,274.95,522.41,549.91,226.84,430.99,453.67,217.67,413.58,435.34,,,,,,
Webjet,Comprehensive Cover,91,Days,123,Days,16,75,494.36,939.28,988.72,390.67,742.26,781.33,347.26,659.79,694.52,286.49,544.33,572.98,,,,,,,,,
Webjet,Comprehensive Cover,124,Days,153,Days,16,75,583.87,1109.36,1167.74,461.4,876.66,922.8,410.13,779.26,820.27,338.36,642.89,676.72,,,,,,,,,
