POLICY,,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Fast Cover,Comprehensive,63,Days,92,Days,75,79,854.9,1624.3,1709.8,738.9,1403.9,1477.8,683.9,1299.4,1367.8,574.9,1092.3,1149.8,,,
Fast Cover,Comprehensive,93,Days,123,Days,75,79,983.9,1869.4,1967.8,851.9,1618.6,1703.8,786.9,1495.1,1573.8,661.9,1257.6,1323.8,,,
Fast Cover,Comprehensive,124,Days,153,Days,75,79,1128.9,2144.9,2257.8,976.9,1856.1,1953.8,903.9,1717.4,1807.8,759.9,1443.8,1519.8,,,
Fast Cover,Comprehensive,154,Days,184,Days,75,79,1304.9,2479.3,2609.8,1128.9,2144.9,2257.8,1043.9,1983.4,2087.8,877.9,1668,1755.8,,,
Fast Cover,Comprehensive,185,Days,215,Days,75,79,1429.9,2716.8,2859.8,1236.9,2350.1,2473.8,1143.9,2173.4,2287.8,961.9,1827.6,1923.8,,,
Fast Cover,Comprehensive,216,Days,245,Days,75,79,1573.9,2990.4,3147.8,1361.9,2587.6,2723.8,1259.9,2393.8,2519.8,1059.9,2013.8,2119.8,,,
Fast Cover,Comprehensive,246,Days,276,Days,75,79,1705.9,3241.2,3411.8,1475.9,2804.2,2951.8,1364.9,2593.3,2729.8,1147.9,2181,2295.8,,,
Fast Cover,Comprehensive,277,Days,306,Days,75,79,1800.9,3421.7,3601.8,1558.9,2961.9,3117.8,1440.9,2737.7,2881.8,1211.9,2302.6,2423.8,,,
Fast Cover,Comprehensive,307,Days,337,Days,75,79,1896.9,3604.1,3793.8,1640.9,3117.7,3281.8,1517.9,2884,3035.8,1276.9,2426.1,2553.8,,,
Fast Cover,Comprehensive,338,Days,366,Days,75,79,2046.9,3889.1,4093.8,1770.9,3364.7,3541.8,1636.9,3110.1,3273.8,1377.9,2618,2755.8,,,
Fast Cover,Comprehensive,1,Days,5,Days,80,99,239.9,455.8,479.8,215.9,410.2,431.8,191.9,364.6,383.8,167.9,319,335.8,,,
Fast Cover,Comprehensive,6,Days,8,Days,80,99,254.9,484.3,509.8,229.9,436.8,459.8,203.9,387.4,407.8,178.9,339.9,357.8,,,
Fast Cover,Comprehensive,9,Days,12,Days,80,99,311.9,592.6,623.8,280.9,533.7,561.8,249.9,474.8,499.8,218.9,415.9,437.8,,,
Fast Cover,Comprehensive,13,Days,15,Days,80,99,330.9,628.7,661.8,297.9,566,595.8,264.9,503.3,529.8,231.9,440.6,463.8,,,
Fast Cover,Comprehensive,16,Days,18,Days,80,99,364.9,693.3,729.8,327.9,623,655.8,291.9,554.6,583.8,254.9,484.3,509.8,,,
Fast Cover,Comprehensive,19,Days,21,Days,80,99,463.9,881.4,927.8,416.9,792.1,833.8,370.9,704.7,741.8,323.9,615.4,647.8,,,
Fast Cover,Comprehensive,22,Days,24,Days,80,99,489.9,930.8,979.8,440.9,837.7,881.8,391.9,744.6,783.8,342.9,651.5,685.8,,,
Fast Cover,Comprehensive,25,Days,28,Days,80,99,582.9,1107.5,1165.8,524.9,997.3,1049.8,466.9,887.1,933.8,407.9,775,815.8,,,
Fast Cover,Comprehensive,29,Days,32,Days,80,99,645.9,1227.2,1291.8,581.9,1105.6,1163.8,516.9,982.1,1033.8,451.9,858.6,903.8,,,
Fast Cover,Comprehensive,33,Days,35,Days,80,99,699.9,1329.8,1399.8,629.9,1196.8,1259.8,559.9,1063.8,1119.8,489.9,930.8,979.8,,,
Fast Cover,Comprehensive,36,Days,40,Days,80,99,730.9,1388.7,1461.8,657.9,1250,1315.8,584.9,1111.3,1169.8,511.9,972.6,1023.8,,,
Fast Cover,Comprehensive,41,Days,45,Days,80,99,837.9,1592,1675.8,753.9,1432.4,1507.8,670.9,1274.7,1341.8,586.9,1115.1,1173.8,,,
Fast Cover,Comprehensive,46,Days,54,Days,80,99,889.9,1690.8,1779.8,799.9,1519.8,1599.8,711.9,1352.6,1423.8,622.9,1183.5,1245.8,,,
Fast Cover,Comprehensive,55,Days,62,Days,80,99,981.9,1865.6,1963.8,882.9,1677.5,1765.8,784.9,1491.3,1569.8,686.9,1305.1,1373.8,,,
Fast Cover,Comprehensive,63,Days,92,Days,80,99,1303.9,2477.4,2607.8,1173.9,2230.4,2347.8,1042.9,1981.5,2085.8,912.9,1734.5,1825.8,,,
Fast Cover,Comprehensive,93,Days,123,Days,80,99,1501.9,2853.6,3003.8,1351.9,2568.6,2703.8,1201.9,2283.6,2403.8,1050.9,1996.7,2101.8,,,
Fast Cover,Comprehensive,124,Days,153,Days,80,99,1722.9,3273.5,3445.8,1550.9,2946.7,3101.8,1378.9,2619.9,2757.8,1205.9,2291.2,2411.8,,,
Fast Cover,Comprehensive,154,Days,184,Days,80,99,1991.9,3784.6,3983.8,1792.9,3406.5,3585.8,1592.9,3026.5,3185.8,1393.9,2648.4,2787.8,,,
Fast Cover,Comprehensive,185,Days,215,Days,80,99,2180.9,4143.7,4361.8,1963.9,3731.4,3927.8,1744.9,3315.3,3489.8,1526.9,2901.1,3053.8,,,
Fast Cover,Comprehensive,216,Days,245,Days,80,99,2402.9,4565.5,4805.8,2162.9,4109.5,4325.8,1921.9,3651.6,3843.8,1681.9,3195.6,3363.8,,,
Fast Cover,Comprehensive,246,Days,276,Days,80,99,2602.9,4945.5,5205.8,2342.9,4451.5,4685.8,2082.9,3957.5,4165.8,1821.9,3461.6,3643.8,,,
Fast Cover,Comprehensive,277,Days,306,Days,80,99,2748.9,5222.9,5497.8,2473.9,4700.4,4947.8,2198.9,4177.9,4397.8,1924.9,3657.3,3849.8,,,
Fast Cover,Comprehensive,307,Days,337,Days,80,99,2894.9,5500.3,5789.8,2605.9,4951.2,5211.8,2315.9,4400.2,4631.8,2026.9,3851.1,4053.8,,,
Fast Cover,Comprehensive,338,Days,366,Days,80,99,3123.9,5935.4,6247.8,2811.9,5342.6,5623.8,2498.9,4747.9,4997.8,2186.9,4155.1,4373.8,,,
Fast Cover,Comprehensive Snow,1,Days,5,Days,16,59,80.7,153.3,161.4,72.6,137.9,145.2,64.5,122.6,129,55.6,105.6,111.2,,,
Fast Cover,Comprehensive Snow,6,Days,8,Days,16,59,85.8,163,171.6,77.1,146.5,154.2,68.6,130.3,137.2,59.1,112.3,118.2,,,
Fast Cover,Comprehensive Snow,9,Days,12,Days,16,59,104.6,198.7,209.2,94.1,178.8,188.2,83.7,159,167.4,72.1,137,144.2,,,
Fast Cover,Comprehensive Snow,13,Days,15,Days,16,59,111.1,211.1,222.2,100.1,190.2,200.2,88.9,168.9,177.8,76.5,145.4,153,,,
Fast Cover,Comprehensive Snow,16,Days,18,Days,16,59,122.1,232,244.2,109.8,208.6,219.6,97.6,185.4,195.2,84.1,159.8,168.2,,,
Fast Cover,Comprehensive Snow,19,Days,21,Days,16,59,155.5,295.5,311,139.9,265.8,279.8,124.4,236.4,248.8,107.1,203.5,214.2,,,
Fast Cover,Comprehensive Snow,22,Days,24,Days,16,59,179.3,340.7,358.6,161.4,306.7,322.8,143.5,272.7,287,123.5,234.7,247,,,
Fast Cover,Comprehensive Snow,25,Days,28,Days,16,59,195.4,371.3,390.8,173.1,328.9,346.2,156.3,297,312.6,134.6,255.7,269.2,,,
Fast Cover,Comprehensive Snow,29,Days,32,Days,16,59,220.3,418.6,440.6,195.1,370.7,390.2,176.3,335,352.6,151.8,288.4,303.6,,,
Fast Cover,Comprehensive Snow,33,Days,35,Days,16,59,234.7,445.9,469.4,207.8,394.8,415.6,187.7,356.6,375.4,161.7,307.2,323.4,,,
Fast Cover,Comprehensive Snow,36,Days,40,Days,16,59,266.1,505.6,532.2,235.6,447.6,471.2,212.8,404.3,425.6,183.3,348.3,366.6,,,
Fast Cover,Comprehensive Snow,41,Days,45,Days,16,59,281.1,534.1,562.2,249,473.1,498,224.9,427.3,449.8,193.6,367.8,387.2,,,
Fast Cover,Comprehensive Snow,46,Days,54,Days,16,59,291.8,554.4,583.6,258.4,491,516.8,233.4,443.5,466.8,201,381.9,402,,,
Fast Cover,Comprehensive Snow,55,Days,62,Days,16,59,329.1,625.3,658.2,291.5,553.9,583,263.2,500.1,526.4,226.7,430.7,453.4,,,
Fast Cover,Comprehensive Snow,63,Days,92,Days,16,59,437.3,830.9,874.6,377.7,717.6,755.4,349.8,664.6,699.6,301.2,572.3,602.4,,,
Fast Cover,Comprehensive Snow,93,Days,123,Days,16,59,503.4,956.5,1006.8,434.7,825.9,869.4,402.8,765.3,805.6,338.1,642.4,676.2,,,
Fast Cover,Comprehensive Snow,124,Days,153,Days,16,59,577.6,1097.4,1155.2,498.7,947.5,997.4,462,877.8,924,387.9,737,775.8,,,
Fast Cover,Comprehensive Snow,154,Days,184,Days,16,59,666.8,1266.9,1333.6,575.8,1094,1151.6,533.5,1013.7,1067,447.9,851,895.8,,,
Fast Cover,Comprehensive Snow,185,Days,215,Days,16,59,730.8,1388.5,1461.6,631,1198.9,1262,584.6,1110.7,1169.2,490.8,932.5,981.6,,,
Fast Cover,Comprehensive Snow,216,Days,245,Days,16,59,804.9,1529.3,1609.8,695.1,1320.7,1390.2,643.9,1223.4,1287.8,540.6,1027.1,1081.2,,,
Fast Cover,Comprehensive Snow,246,Days,276,Days,16,59,871.7,1656.2,1743.4,752.8,1430.3,1505.6,697.3,1324.9,1394.6,585.5,1112.5,1171,,,
Fast Cover,Comprehensive Snow,277,Days,306,Days,16,59,921.1,1750.1,1842.2,795.5,1511.5,1591,736.9,1400.1,1473.8,618.6,1175.3,1237.2,,,
Fast Cover,Comprehensive Snow,307,Days,337,Days,16,59,969.7,1842.4,1939.4,837.4,1591.1,1674.8,775.8,1474,1551.6,651.3,1237.5,1302.6,,,
