POLICY,POLICY,DURATION (DAYS),,,,AGE GROUP,,PRICING (2 DECIMAL PLACES MAXIMUM),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
INSURER ME,INSURER NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,,,REGION 6,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,271,days,300,days,18,59,556.48,1112.95,1112.95,424.23,848.45,848.45,393.23,786.46,786.46,313.74,627.48,627.48,298.57,597.14,597.14,351.4,702.81,702.81
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,301,days,330,days,18,59,599.56,1199.12,1199.12,456.77,913.54,913.54,423.57,847.15,847.15,339.83,679.66,679.66,324.06,648.11,648.11,381.4,762.81,762.81
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,331,days,366,days,18,59,632.93,1265.87,1265.87,483.99,967.97,967.97,447.24,894.49,894.49,359.25,718.5,718.5,343.47,686.94,686.94,404.25,808.5,808.5
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,1,days,3,days,60,69,24.42,48.85,48.85,21.77,43.54,43.54,19.54,39.08,39.08,18.14,36.29,36.29,18.14,36.29,36.29,21.36,42.71,42.71
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,4,days,4,days,60,69,33.5,66.99,66.99,28.58,57.17,57.17,25.82,51.64,51.64,24.42,48.85,48.85,24.42,48.85,48.85,28.75,57.49,57.49
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,5,days,5,days,60,69,41.88,83.75,83.75,35.39,70.77,70.77,32.1,64.2,64.2,31.41,62.81,62.81,26.52,53.05,53.05,31.22,62.44,62.44
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,6,days,6,days,60,69,48.16,96.31,96.31,42.19,84.38,84.38,36.29,72.58,72.58,33.5,66.99,66.99,27.22,54.43,54.43,32.03,64.07,64.07
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,7,days,7,days,60,69,54.43,108.87,108.87,46.94,93.88,93.88,41.88,83.75,83.75,35.59,71.17,71.17,29.31,58.61,58.61,34.49,68.99,68.99
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,8,days,8,days,60,69,57.92,115.84,115.84,49,98,98,43.27,86.55,86.55,36.29,72.58,72.58,30.01,60.02,60.02,35.32,70.64,70.64
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,9,days,9,days,60,69,54.43,108.87,108.87,52.4,104.79,104.79,45.36,90.72,90.72,37.68,75.35,75.35,31.41,62.81,62.81,36.96,73.93,73.93
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,10,days,10,days,60,69,57.23,114.46,114.46,54.43,108.87,108.87,47.45,94.9,94.9,38.39,76.78,76.78,32.1,64.2,64.2,37.78,75.56,75.56
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,11,days,11,days,60,69,60.01,120.02,120.02,56.47,112.95,112.95,49.54,99.08,99.08,39.78,79.55,79.55,32.79,65.59,65.59,38.6,77.19,77.19
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,12,days,12,days,60,69,63.51,127.01,127.01,59.88,119.76,119.76,51.64,103.28,103.28,40.48,80.96,80.96,34.19,68.38,68.38,40.24,80.48,80.48
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,13,days,13,days,60,69,66.99,133.99,133.99,61.92,123.84,123.84,52.35,104.69,104.69,41.88,83.75,83.75,34.89,69.79,69.79,41.07,82.14,82.14
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,14,days,14,days,60,69,69.79,139.57,139.57,64.64,129.29,129.29,54.43,108.87,108.87,43.27,86.55,86.55,35.59,71.17,71.17,41.88,83.77,83.77
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,15,days,15,days,60,69,71.88,143.75,143.75,66,132,132,57.23,114.46,114.46,43.97,87.93,87.93,36.99,73.99,73.99,43.54,87.08,87.08
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,16,days,16,days,60,69,73.27,146.55,146.55,68.04,136.08,136.08,57.92,115.84,115.84,45.36,90.72,90.72,43.27,86.55,86.55,50.93,101.86,101.86
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,17,days,17,days,60,69,76.07,152.13,152.13,70.08,140.16,140.16,60.01,120.02,120.02,46.06,92.11,92.11,43.97,87.93,87.93,51.75,103.49,103.49
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,18,days,18,days,60,69,89.32,178.64,178.64,72.13,144.26,144.26,61.41,122.82,122.82,48.16,96.31,96.31,45.36,90.72,90.72,53.39,106.78,106.78
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,19,days,19,days,60,69,91.42,182.84,182.84,73.48,146.97,146.97,63.51,127.01,127.01,49.54,99.08,99.08,46.06,92.11,92.11,54.21,108.41,108.41
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,20,days,20,days,60,69,93.52,187.04,187.04,75.52,151.05,151.05,64.21,128.42,128.42,50.25,100.49,100.49,47.45,94.9,94.9,55.85,111.7,111.7
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,21,days,21,days,60,69,96.3,192.6,192.6,77.56,155.13,155.13,66.3,132.6,132.6,51.64,103.28,103.28,48.16,96.31,96.31,56.68,113.35,113.35
Woolworths Travel Insurance,Woolworths_Travel_Insurance_Saver,22,days,22,days,60,69,99.09,198.19,198.19,79.61,159.23,159.23,67.69,135.37,135.37,52.35,104.69,104.69,49.54,99.08,99.08,58.31,116.62,116.62
